Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR
2007-03-23,226200,189000,63000,5196700,20300,16675401,5356900,778400,940200,120100,4211200,446000,1200800,1087600,4424700,280000,161800,2148600,430800,4554700,990000,661000,63600,1015600,773700,30029100,1722200,29800,898100,74500,172700,263100,41100,5106000,71048000,2245500,263300,221700,599800,597200,4801000,3578400,14881800,12145800,3477900,1325900,1196200,2802400,1155100,1074100,80200,71400,0
2007-03-26,442800,179200,64900,7864500,28400,20837199,4589700,551300,1620500,38500,3464900,224900,2847400,707400,4973300,139200,130900,3236901,462300,3700600,683000,738500,37500,1206700,611900,42724000,4840000,74100,161100,68800,157800,377225,136600,2181000,10552800,2814300,139900,268000,372200,426400,4155600,3690200,18722900,16656600,2233200,912200,1160300,3656000,961300,1207300,430800,7500,0
2007-03-27,275200,215700,22100,7608000,37700,17888301,4625200,258200,1478800,9100,2665700,379800,2292800,970000,4198200,201400,146300,3045600,500400,3058000,557000,979800,68400,858200,776600,38279000,3316000,26700,508900,84500,98800,258625,160100,2382000,90974500,2688300,96500,102900,381600,949000,5596200,3051700,15109100,6243400,2209600,1463200,1890100,2823100,2919800,1500000,105200,55700,0
2007-03-28,217600,261300,23500,13038700,10800,21297000,7245200,310600,1378100,61400,2551600,607900,1413800,895500,6639600,436200,136100,4352601,553500,5763200,744000,800900,127000,1368600,827200,65147200,5362500,42200,601300,82400,243300,546000,173100,3748000,43850100,6085700,139300,104100,591600,498400,4569500,6187300,18485300,14874600,4443100,1947300,1289100,2877900,2763500,1551100,68600,32500,0
2007-03-29,223000,343700,13700,8936400,1300,22159200,6195500,273900,1616600,315700,4275300,136500,2623900,906100,7010100,243400,64600,5413800,688800,4832200,1052000,1322800,41300,1014200,645700,48062500,2718600,131200,766400,119400,388700,459725,85500,3675000,29036400,6798300,95400,115100,861200,375000,3130600,4575700,22155300,13974600,4725900,2806900,1842500,2192900,2707900,2015200,102000,9500,0
2007-03-30,434700,171000,47100,9742700,6200,28322499,7687100,456300,2325400,174700,2814000,500700,1885200,926200,6876600,391000,176300,9034800,399500,3987000,743000,1077900,36700,1346700,703000,52011400,3974600,135300,747700,126600,218900,439700,34500,2943000,15609000,5652300,222000,111300,492200,972400,2004800,5745200,21073200,11804100,5476100,2940300,1857900,7187000,2867100,885500,32900,3200,0
2007-04-02,469100,296700,29600,6061300,14500,18709599,6158500,575500,5737000,177300,2526900,179700,4144600,900600,7037000,132400,62400,4969701,408600,4894400,669000,820900,384900,1212500,440700,32765400,2631100,148300,967900,69800,122700,326100,75800,8105000,75815700,3698800,272200,124900,340000,761200,1228500,2082600,17868800,11809100,4157300,1534600,1074700,5146400,1173900,1342400,185900,94500,0
2007-04-03,390600,370600,37900,7256500,5700,24322500,5317300,1350600,2017700,184600,2678300,136000,3729600,754600,4849900,320400,68200,4084401,896600,3948600,672000,870900,479400,754200,923700,42961700,2674100,234400,390500,158900,227800,361050,97800,3628000,75534200,4383100,115200,123900,216600,572600,2640000,3237000,14871900,13468200,3409900,1973200,2062500,3983900,982300,1343900,77200,5300,0
2007-04-04,181400,122000,31400,4610500,11800,20397900,7804700,444900,1927300,38600,11398000,3524100,2061000,1065000,6562000,561800,120400,2662500,433800,4584500,1044000,664900,239200,645800,958300,33386500,1964900,157600,1163600,93600,165400,210650,59000,4859000,56149100,4276400,256900,88500,1361800,972000,1059500,2322600,15748800,6666100,1763600,1972200,2644500,3293600,785600,1402000,177800,8000,0
2007-04-05,262500,219100,24600,3885600,11000,15471501,3046600,569700,786000,110200,4234700,516400,1159600,475300,2436100,366400,148800,2531499,457200,2947500,1233000,1996800,60200,593300,796800,23165300,1133900,57100,1058500,129900,129700,163000,59800,4649000,44093300,3182400,296600,66800,410200,1141600,2904300,1576500,12171800,5241500,2485300,641100,793600,2221500,1006800,477200,78100,13100,0
2007-04-09,323900,301000,64900,3314700,13400,16002399,4083000,316800,1525600,147400,3594000,767000,1539300,439500,5884100,217000,237500,4625799,341500,3133500,1094000,900700,40200,557400,657300,37884100,1204100,304300,1069400,137300,355400,283550,104100,3865000,47733300,4712900,324900,90400,333000,529800,2431300,4077700,19098800,6178800,2451800,735700,326500,3444500,1304600,712000,274300,46400,0
2007-04-10,314700,231300,30000,5526200,3500,14115900,5033800,1080700,1616600,96900,2381900,463900,1516900,658800,4765200,427000,87900,3084399,290700,2361100,1046000,1759000,90300,508800,1541300,39727200,1233800,33100,637700,115800,112200,268025,79400,4474000,52491600,2344700,105900,82400,236600,382000,2005600,1827200,17148700,9701300,3063500,1466200,1152900,2380500,1422200,1109300,86100,30100,0
